DEBUG | id=10036 (Mealy Goosefoot): 'hardiness.max' is empty — setting to null.
DEBUG | id=10037 (Narrowleaf Goosefoot): 'hardiness.min' is empty — setting to null.
DEBUG | id=10037 (Narrowleaf Goosefoot): 'hardiness.max' is empty — setting to null.
DEBUG | id=10038 (Shiny-Seed Goosefoot): 'hardiness.min' is empty — setting to null.
DEBUG | id=10038 (Shiny-Seed Goosefoot): 'hardiness.max' is empty — setting to null.
DEBUG | id=10039 (Seaport Goosefoot): 'hardiness.min' is empty — setting to null.
DEBUG | id=10039 (Seaport Goosefoot): 'hardiness.max' is empty — setting to null.
DEBUG | id=10040 (Desert Goosefoot): 'hardiness.min' is empty — setting to null.
DEBUG | id=10040 (Desert Goosefoot): 'hardiness.max' is empty — setting to null.
DEBUG | id=10041 (Late-Flowering Goosefoot): 'hardiness.min' is empty — setting to null.
DEBUG | id=10041 (Late-Flowering Goosefoot): 'hardiness.max' is empty — setting to null.
DEBUG | id=10042 (Woodland Goosefoot): 'hardiness.min' is empty — setting to null.
DEBUG | id=10042 (Woodland Goosefoot): 'hardiness.max' is empty — setting to null.
DEBUG | id=10043 (Strict Goosefoot): 'hardiness.min' is empty — setting to null.
DEBUG | id=10043 (Strict Goosefoot): 'hardiness.max' is empty — setting to null.
DEBUG | id=10044 (Smooth Goosefoot): 'hardiness.min' is empty — setting to null.
DEBUG | id=10044 (Smooth Goosefoot): 'hardiness.max' is empty — setting to null.
DEBUG | id=10045 (Stinking Goosefoot): 'hardiness.min' is empty — setting to null.
DEBUG | id=10045 (Stinking Goosefoot): 'hardiness.max' is empty — setting to null.
DEBUG | id=10046 (Watson's Goosefoot): 'hardiness.min' is empty — setting to null.
DEBUG | id=10046 (Watson's Goosefoot): 'hardiness.max' is empty — setting to null.
DEBUG | id=10047 (Arctic Stitchwort): 'hardiness.min' is empty — setting to null.
DEBUG | id=10047 (Arctic Stitchwort): 'hardiness.max' is empty — setting to null.
DEBUG | id=10048 (Mountain Stitchwort): 'hardiness.min' is empty — setting to null.
DEBUG | id=10048 (Mountain Stitchwort): 'hardiness.max' is empty — setting to null.
DEBUG | id=10049 (Serpentine Stitchwort): 'hardiness.min' is empty — setting to null.
DEBUG | id=10049 (Serpentine Stitchwort): 'hardiness.max' is empty — setting to null.
DEBUG | id=10050 (Twinflower Stitchwort): 'hardiness.min' is empty — setting to null.
DEBUG | id=10050 (Twinflower Stitchwort): 'hardiness.max' is empty — setting to null.
DEBUG | id=10051 (Yukon Stitchwort): 'hardiness.min' is empty — setting to null.
DEBUG | id=10051 (Yukon Stitchwort): 'hardiness.max' is empty — setting to null.
DEBUG | id=10052 (Spotted Wintergreen): 'hardiness.min' is empty — setting to null.
DEBUG | id=10052 (Spotted Wintergreen): 'hardiness.max' is empty — setting to null.
DEBUG | id=10053 (Common Wintergreen): 'hardiness.min' is empty — setting to null.
DEBUG | id=10053 (Common Wintergreen): 'hardiness.max' is empty — setting to null.
DEBUG | id=10054 (Common Pipsissewa): 'hardiness.min' is empty — setting to null.
DEBUG | id=10054 (Common Pipsissewa): 'hardiness.max' is empty — setting to null.
DEBUG | id=10055 (Blue Mustard): 'hardiness.min' is empty — setting to null.
DEBUG | id=10055 (Blue Mustard): 'hardiness.max' is empty — setting to null.
DEBUG | id=10056 (American Golden Saxifrage): 'hardiness.min' is empty — setting to null.
DEBUG | id=10056 (American Golden Saxifrage): 'hardiness.max' is empty — setting to null.
DEBUG | id=10057 (Iowa Golden Saxifrage): 'hardiness.min' is empty — setting to null.
DEBUG | id=10057 (Iowa Golden Saxifrage): 'hardiness.max' is empty — setting to null.
DEBUG | id=10058 (Rosendahl's Golden-Saxifrage): 'hardiness.min' is empty — setting to null.
DEBUG | id=10058 (Rosendahl's Golden-Saxifrage): 'hardiness.max' is empty — setting to null.
DEBUG | id=10059 (Northern Golden Carpet): 'hardiness.min' is empty — setting to null.
DEBUG | id=10059 (Northern Golden Carpet): 'hardiness.max' is empty — setting to null.
DEBUG | id=10060 (Wright's Golden Saxifrage): 'hardiness.min' is empty — setting to null.
DEBUG | id=10060 (Wright's Golden Saxifrage): 'hardiness.max' is empty — setting to null.
DEBUG | id=10061 (Greenleaf Rabbit Brush): 'hardiness.min' is empty — setting to null.
DEBUG | id=10061 (Greenleaf Rabbit Brush): 'hardiness.max' is empty — setting to null.
DEBUG | id=10062 (Green Rabbit Brush): 'hardiness.min' is empty — setting to null.
DEBUG | id=10062 (Green Rabbit Brush): 'hardiness.max' is empty — setting to null.
DEBUG | id=10063 (Chick Pea): 'hardiness.min' is empty — setting to null.
DEBUG | id=10063 (Chick Pea): 'hardiness.max' is empty — setting to null.
DEBUG | id=10064 (Bulb Bearing Water Hemlock): 'hardiness.min' is empty — setting to null.
DEBUG | id=10064 (Bulb Bearing Water Hemlock): 'hardiness.max' is empty — setting to null.
DEBUG | id=10065 (Douglas' Water Hemlock): 'hardiness.min' is empty — setting to null.
DEBUG | id=10065 (Douglas' Water Hemlock): 'hardiness.max' is empty — setting to null.
DEBUG | id=10066 (Spotted Water Hemlock): 'hardiness.min' is empty — setting to null.
DEBUG | id=10066 (Spotted Water Hemlock): 'hardiness.max' is empty — setting to null.
DEBUG | id=10067 (Spotted Water Hemlock): 'hardiness.min' is empty — setting to null.
DEBUG | id=10067 (Spotted Water Hemlock): 'hardiness.max' is empty — setting to null.
DEBUG | id=10068 (Smaller Enchanter's Nightshade): 'hardiness.min' is empty — setting to null.
DEBUG | id=10068 (Smaller Enchanter's Nightshade): 'hardiness.max' is empty — setting to null.
DEBUG | id=10069 (Enchanter's Nightshade): 'hardiness.min' is empty — setting to null.
DEBUG | id=10069 (Enchanter's Nightshade): 'hardiness.max' is empty — setting to null.
DEBUG | id=10070 (Canada Enchanter's Nightshade): 'hardiness.min' is empty — setting to null.
DEBUG | id=10070 (Canada Enchanter's Nightshade): 'hardiness.max' is empty — setting to null.
DEBUG | id=10071 (Intermediate Enchanter's Nightshade): 'hardiness.min' is empty — setting to null.
DEBUG | id=10071 (Intermediate Enchanter's Nightshade): 'hardiness.max' is empty — setting to null.
DEBUG | id=10072 (Canada Thistle): 'hardiness.min' is empty — setting to null.
DEBUG | id=10072 (Canada Thistle): 'hardiness.max' is empty — setting to null.
DEBUG | id=10073 (Short Styled Thistle): 'hardiness.min' is empty — setting to null.
DEBUG | id=10073 (Short Styled Thistle): 'hardiness.max' is empty — setting to null.
DEBUG | id=10074 (Prairie Thistle): 'hardiness.min' is empty — setting to null.
DEBUG | id=10074 (Prairie Thistle): 'hardiness.max' is empty — setting to null.
DEBUG | id=10075 (Field Thistle): 'hardiness.min' is empty — setting to null.
DEBUG | id=10075 (Field Thistle): 'hardiness.max' is empty — setting to null.
DEBUG | id=10076 (Drummond's Thistle): 'hardiness.min' is empty — setting to null.
DEBUG | id=10076 (Drummond's Thistle): 'hardiness.max' is empty — setting to null.
DEBUG | id=10078 (Edible Thistle): 'hardiness.min' is empty — setting to null.
DEBUG | id=10078 (Edible Thistle): 'hardiness.max' is empty — setting to null.
DEBUG | id=10079 (Leafy Thistle): 'hardiness.min' is empty — setting to null.
DEBUG | id=10079 (Leafy Thistle): 'hardiness.max' is empty — setting to null.
DEBUG | id=10080 (Melancholy Thistle): 'hardiness.min' is empty — setting to null.
DEBUG | id=10080 (Melancholy Thistle): 'hardiness.max' is empty — setting to null.
